id,name,active,code_frente,description
1,1,VERDADERO,Frente 1
2,2,VERDADERO,Frente 2
3,3,VERDADERO,Frente 3
4,4,VERDADERO,Frente 4
5,5,VERDADERO,Frente 5
6,6,VERDADERO,Frente 6
7,0,VERDADERO,Frente 0
