external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_238,D59 - LLENAR CAMIONES DE MATERIALES,true,D59,LLENAR CAMIONES DE MATERIALES,1.87,,0,0,0,
Labor_239,D67 - SERVICIO DE GRUA,true,D67,SERVICIO DE GRUA,1.87,,0,0,0,
Labor_240,D79 - TRASIEGO DE EQUIPO,true,D79,TRASIEGO DE EQUIPO,1.87,,0,0,0,
Labor_241,D82 - TRASLADO DE EQUIPO,true,D82,TRASLADO DE EQUIPO,1.87,,0,0,0,
Labor_242,D91 - RIEGO DE CALLE,true,D91,RIEGO DE CALLE,1.87,,0,0,0,
Labor_243,E003 - ALCE DE CAÑA,true,E003,ALCE DE CAÑA,1.87,,0,0,0,
Labor_244,E008 - CALLES Y QUEMA,true,E008,CALLES Y QUEMA,1.87,,0,0,0,
Labor_245,E01 - ABONAMIENTO,true,E01,ABONAMIENTO,1.87,,0,0,0,
Labor_246,E010 - CAPATACES Y AISTENTES,true,E010,CAPATACES Y AISTENTES,1.87,,0,0,0,
Labor_247,E015 - CORTE DE CAÑA SEMILLA,true,E015,CORTE DE CAÑA SEMILLA,1.87,,0,0,0,
Labor_248,E018 - RONDAS,true,E018,RONDAS,1.87,,0,0,0,
Labor_249,E019 - DESPUNTADOR,true,E019,DESPUNTADOR,1.87,,0,0,0,
Labor_250,E02 - ACARREO DE AGUA PARA FUMIGAR,true,E02,ACARREO DE AGUA PARA FUMIGAR,1.87,,0,0,0,
Labor_251,E028 - REQUEMA,true,E028,REQUEMA,1.87,,0,0,0,
Labor_252,E029 - MANCHADORES,true,E029,MANCHADORES,1.87,,0,0,0,
Labor_253,E03 - ACARREO DE ALCOHOL,true,E03,ACARREO DE ALCOHOL,1.87,,0,0,0,
Labor_254,E036 - PINERO,true,E036,PINERO,1.87,,0,0,0,
Labor_255,E037 - RECOJO Y REPICA DE CAÑA,true,E037,RECOJO Y REPICA DE CAÑA,1.87,,0,0,0,
Labor_256,E038 - RECOJO DE PIEDRAS,true,E038,RECOJO DE PIEDRAS,1.87,,0,0,0,
