id,name,active
1,MAQUINARIAS INDUSTRIALES FIJA,true
2,EQUIPOS MAQUINARIAS VEHICULOS-INDUSTRIAL,true
3,HERRAMIENTAS,true
4,VEHICULOS-TRANSPORTE,true
5,TERRENOS Y BIENES NATURALES,true
6,CONSTRUCCIONES,true
7,INSTALACIONES TECNICAS,true
8,MOBILIARIO,true
9,EQUIPOS INFORMATICOS,true
10,OTROS,true
